created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Jan 22 13:11:12 +0000 2024,1749419444689133865,Kardus Duren hanya untuk menjatuhkan Gus Muhaimin   #KardusDurenGorenganPolitik   @aniesbaswedan  @cakimiNOW https://t.co/2O9gBCYcqf,0,0,0,0,in,941790738546692096,1749419444689133865,sanditunggal_,https://twitter.com/sanditunggal_/status/1749419444689133865
Mon Jan 22 13:10:57 +0000 2024,1749419381665431696,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/blP4GgSIOp,0,0,0,1,in,1730231696430190592,1749419381665431696,ngopidulu854502,https://twitter.com/ngopidulu854502/status/1749419381665431696
Mon Jan 22 13:10:50 +0000 2024,1749419348916424874,"Isu Kardus durian hanya gorengan politik yang ingin menjatuhkan Cawapres nomor urut 1, Abdul Muhaimin Iskandar. #KardusDurenGorenganPolitik @aniesbaswedan @cakiminnow https://t.co/bVVXveqLjf",0,1,0,2,in,1604191718907133952,1749419348916424874,ti4_tir4,https://twitter.com/ti4_tir4/status/1749419348916424874
Mon Jan 22 13:10:20 +0000 2024,1749419225725423783,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/9ebL8xJ2CU,0,0,0,0,in,1366550854908604416,1749419225725423783,martha_nangi,https://twitter.com/martha_nangi/status/1749419225725423783
Mon Jan 22 13:10:18 +0000 2024,1749419215654920616,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/3sv4Jt6rOQ   #KardusDurenGorenganPolitik  @aniesbaswedan @cakimiNOW,0,0,0,0,in,1734311489585205248,1749419215654920616,BldAminTrangkih,https://twitter.com/BldAminTrangkih/status/1749419215654920616
Mon Jan 22 13:10:01 +0000 2024,1749419145329099256,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin @aniesbaswedan @cakimiNOW https://t.co/meWST2j5zd,0,0,0,0,in,1483195087505227776,1749419145329099256,Kopi_Nusa1926,https://twitter.com/Kopi_Nusa1926/status/1749419145329099256
Mon Jan 22 13:09:52 +0000 2024,1749419107165073845,@Metro_TV @cakimiNOW @aniesbaswedan Anies Dan Muhaimin memiliki kemampuan eksekusi atau implementasi kebijakan kereennn bisss dehh,0,0,0,0,in,2377794594,1749093184419078472,siscanandya,https://twitter.com/siscanandya/status/1749419107165073845
Mon Jan 22 13:09:52 +0000 2024,1749419106242330715,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/9ydNIGWOPM,0,0,0,0,in,1483272615104233472,1749419106242330715,tawonhijau,https://twitter.com/tawonhijau/status/1749419106242330715
Mon Jan 22 13:09:35 +0000 2024,1749419034221981826,"Calon wakil presiden nomor urut 1, Muhaimin Iskandar atau Cak Imin, menyampaikan krisis iklim menjadi ancaman nyata dunia yang harus dihadapi bersama ... https://t.co/9sP9Z0oyUA",0,0,0,2,in,46693036,1749419034221981826,inilahdotcom,https://twitter.com/inilahdotcom/status/1749419034221981826
Mon Jan 22 13:09:34 +0000 2024,1749419033966027102,"Muhaimin Iskandar dan Mahfud Md Kompak Singgung Food Estate Gagal, TKN Prabowo-Gibran Beberkan Faktanya https://t.co/os4L9q94bT",0,91,1,62,in,55507370,1749419033966027102,tvOneNews,https://twitter.com/tvOneNews/status/1749419033966027102
Mon Jan 22 13:09:16 +0000 2024,1749418957701075371,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/q1T24zcHss,0,0,0,1,in,1604808747310014464,1749418957701075371,Rionugrahboa,https://twitter.com/Rionugrahboa/status/1749418957701075371
Mon Jan 22 13:08:51 +0000 2024,1749418852604383539,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/KnS8VmooyM  #KardusDurenGorenganPolitik  @aniesbaswedan @cakimiNOW,0,0,0,0,in,1584143316048056320,1749418852604383539,Sarraahsarahh,https://twitter.com/Sarraahsarahh/status/1749418852604383539
