created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Feb 04 14:09:08 +0000 2024,1754145064257716367,"Pertanyaan dari 01 untuk Prabowo: Gagasan yang dibawa adalah keberlanjutan. Terkait soal dengan Perempuan. Bisakah bapak jelaskan apa yang kurang dalam pemberdayaan &amp  perlindungan perempuan? Gimana mengubahnya?""  #WaktunyaPrabowoGibran #02RangkulSemua #DebatCapres2024""",0,1,0,2,in,1726873272686694400,1754109539748593909,barisanpagi02,https://twitter.com/barisanpagi02/status/1754145064257716367
Sun Feb 04 14:09:08 +0000 2024,1754145064224432244,prabowo beneran gaada poinnya #debatcapres2024,0,0,0,0,in,1533726463673118720,1754145064224432244,roundiekoo,https://twitter.com/roundiekoo/status/1754145064224432244
Sun Feb 04 14:09:08 +0000 2024,1754145063637283057,"Di luar tema malam ini, menurut gw pak Anies sama pak Ganjar tuh nyambung dan enak gitu didenger dan disimak, tapi pas pak Prabowo gw kek capek banget dengerin nya😭 #debatcapres2024  #AniesFinalStage",0,0,2,22,in,1174637502264512512,1754145063637283057,bana_cotta,https://twitter.com/bana_cotta/status/1754145063637283057
Sun Feb 04 14:09:08 +0000 2024,1754145063016567002,gue kena secondhand embarrassment tiap prabowo ngomong,0,0,0,1,in,1464724226145988609,1754145063016567002,pertaineed,https://twitter.com/pertaineed/status/1754145063016567002
Sun Feb 04 14:09:08 +0000 2024,1754145062781661319,"Kalau kata orang bijak, sehat adalah segalanya tapi sepertinya pak Prabowo belum percaya dengan hal itu @skiest21 ASAL BUKAN PRABOWO #WaktunyaPrabowoGibran #debatcapres2024 https://t.co/V5IZqNYNQs https://t.co/7urdkhQPqy",0,0,0,1,in,1712674835082670080,1754145062781661319,AmiravAzka,https://twitter.com/AmiravAzka/status/1754145062781661319
Sun Feb 04 14:09:07 +0000 2024,1754145062181875801,template jawaban prabowo   “ya benar […] itu sangat penting. jawaban saya lebih ke SOLUTIF *start yapping abt makan gratis &amp  STEM*”  #DebatCapresTerakhir,0,0,0,0,in,1177139359218225152,1754145062181875801,yoongikukus,https://twitter.com/yoongikukus/status/1754145062181875801
Sun Feb 04 14:09:07 +0000 2024,1754145060986523811,Kita harus berikan kesempatan penyandang disabilitas untuk bekerja layak  #02Melanjutkan #PerdanaNU #GueMauSatuPutaran #WaktunyaPrabowoGibran #PerdanaNU,0,0,0,0,in,1726576711989702656,1754145060986523811,perdanasquad,https://twitter.com/perdanasquad/status/1754145060986523811
Sun Feb 04 14:09:07 +0000 2024,1754145060172767311,"Jujur Ganjar, ini paling solutif karena langsung riil teknis, dekat dan lebih rasional baik dari pengadaan sampe pendanaan. Kl Pak Anis mungkin bisa dijelasin teknisnya gimana, idenya udah bagus. Kl prabowo ini idealis, realisasinya sulit karena ngabisin duit dan lahan basah.",0,0,0,0,in,1615948760173129731,1754145060172767311,capekbikinbaru,https://twitter.com/capekbikinbaru/status/1754145060172767311
Sun Feb 04 14:09:07 +0000 2024,1754145059304624403,"kesopananan pak anies, tanpa perlu gimmik mencari cari jawaban,ttp menghormati pak prabowo",0,0,0,0,in,53279987,1754145059304624403,mush4r,https://twitter.com/mush4r/status/1754145059304624403
Sun Feb 04 14:09:07 +0000 2024,1754145058633453648,Ganjar : pak anis bagaimana bansos menurut bapak ? Anis : menurut saya bansos itu harus lalala…. Prabowo : cigituh…..😒,0,0,0,0,in,1162696769345429505,1754145058633453648,LuginaArga,https://twitter.com/LuginaArga/status/1754145058633453648
Sun Feb 04 14:09:06 +0000 2024,1754145057790435347,cakep anies gunain kesempatan nanya ke 02 buat promosiin visi misinya sendiri sekaligus nunjukin kekurangan 02 dari bagaimana prabowo gabisa jawab pertanyaannya dengan benar wkwkw #debatcapres2024,0,0,0,1,in,1600439559149715457,1754145057790435347,starrywalts,https://twitter.com/starrywalts/status/1754145057790435347
